NAME                                    VERSION                 TYPE   
init-package-json                       5.0.0                   npm     
installer                               0.7.0                   python  
ip                                      2.0.0                   npm     
ip-regex                                4.3.0                   npm     
is-cidr                                 4.0.2                   npm     
is-core-module                          2.12.0                  npm     
is-fullwidth-code-point                 3.0.0                   npm     
is-lambda                               1.0.1                   npm     
isexe                                   2.0.0                   npm     
isl26                                   0.26-r1                 apk     
jackspeak                               2.2.0                   npm     
jaraco.classes                          3.2.3                   python  
jeepney                                 0.8.0                   python  
jq                                      1.6-r3                  apk     
json-parse-even-better-errors           3.0.0                   npm     
json-stringify-nice                     1.1.4                   npm     
jsonparse                               1.3.1                   npm     
jsonschema                              4.7.2                   python  
just-diff                               6.0.2                   npm     
just-diff-apply                         5.5.0                   npm     
keyring                                 23.13.1                 python  
lark-parser                             0.11.3                  python  
lcms2                                   2.15-r2                 apk     
libacl                                  2.3.1-r3                apk     
libatomic                               12.2.1_git20220924-r10  apk     
libattr                                 2.5.1-r4                apk     
libblkid                                2.38.1-r8               apk     
libbsd                                  0.11.7-r1               apk     
libbz2                                  1.0.8-r5                apk     
libc-dev                                0.7.2-r5                apk     
libc-utils                              0.7.2-r5                apk     
libcrypto3                              3.1.2-r0                apk     
libcurl                                 8.2.1-r0                apk     
libedit                                 20221030.3.1-r1         apk     
libexif                                 0.6.24-r1               apk     
libexpat                                2.5.0-r1                apk     
libffi                                  3.4.4-r2                apk     
libgcc                                  12.2.1_git20220924-r10  apk     
libgomp                                 12.2.1_git20220924-r10  apk     
libidn2                                 2.3.4-r1                apk     
libimagequant                           4.2.0-r0                apk     
libintl                                 0.21.1-r7               apk     
libjpeg-turbo                           2.1.5.1-r3              apk     
libmagic                                5.45-r0                 apk     
libmd                                   1.0.4-r2                apk     
libmount                                2.38.1-r8               apk     
libncursesw                             6.4_p20230506-r0        apk     
libnpmaccess                            7.0.2                   npm     
libnpmdiff                              5.0.17                  npm     
libnpmexec                              5.0.17                  npm     
libnpmfund                              4.0.17                  npm     
libnpmhook                              9.0.3                   npm     
libnpmorg                               5.0.4                   npm     
libnpmpack                              5.0.17                  npm     
libnpmpublish                           7.1.4                   npm     
libnpmsearch                            6.0.2                   npm     
libnpmteam                              5.0.3                   npm     
libnpmversion                           4.0.2                   npm     
libpanelw                               6.4_p20230506-r0        apk     
libpng                                  1.6.39-r3               apk     
libpq                                   15.4-r0                 apk     
libpq-dev                               15.4-r0                 apk     
librsvg                                 2.56.3-r0               apk     
libspng                                 0.7.4-r0                apk     
libssl3                                 3.1.2-r0                apk     
libstdc++                               12.2.1_git20220924-r10  apk     
libstdc++-dev                           12.2.1_git20220924-r10  apk     
libunistring                            1.1-r1                  apk     
libwebp                                 1.3.1-r0                apk     
libx11                                  1.8.4-r4                apk     
libxau                                  1.0.11-r2               apk     
libxcb                                  1.15-r1                 apk     
libxdmcp                                1.1.4-r2                apk     
libxext                                 1.3.5-r2                apk     
libxft                                  2.3.8-r1                apk     
libxml2                                 2.11.4-r0               apk     
libxrender                              0.9.11-r3               apk     
libzip                                  1.9.2-r2                apk     
llvm16-libs                             16.0.6-r1               apk     
lockfile                                0.12.2                  python  
lru-cache                               6.0.0                   npm     
lru-cache                               7.18.3                  npm     
lru-cache                               9.1.1                   npm     
make                                    4.4.1-r1                apk     
make-fetch-happen                       10.2.1                  npm     
make-fetch-happen                       11.1.1                  npm     
minimatch                               3.1.2                   npm     
minimatch                               5.1.6                   npm     
minimatch                               9.0.0                   npm     
minipass                                3.3.6                   npm     
minipass                                5.0.0                   npm     
minipass-collect                        1.0.2                   npm     
minipass-fetch                          2.1.2                   npm     
minipass-fetch                          3.0.3                   npm     
minipass-flush                          1.0.5                   npm     
minipass-json-stream                    1.0.1                   npm     
minipass-pipeline                       1.2.4                   npm     
minipass-sized                          1.0.3                   npm     
minizlib                                2.1.2                   npm     
mkdirp                                  1.0.4                   npm     
more-itertools                          9.1.0                   python  
mpc1                                    1.3.1-r1                apk     
mpdecimal                               2.5.1-r2                apk     
mpfr4                                   4.2.0_p12-r0            apk     
ms                                      2.1.2                   npm     
ms                                      2.1.3                   npm     
msgpack                                 1.0.5                   python  
musl                                    1.2.4-r1                apk     
musl-dev                                1.2.4-r1                apk     
musl-utils                              1.2.4-r1                apk     
mute-stream                             1.0.0                   npm     
ncurses-terminfo-base                   6.4_p20230506-r0        apk     
negotiator                              0.6.3                   npm     
nghttp2-libs                            1.55.1-r0               apk     
node-gyp                                9.3.1                   npm     
nodejs                                  18.17.1-r0              apk     
nopt                                    6.0.0                   npm     
nopt                                    7.1.0                   npm     
normalize-package-data                  5.0.0                   npm     
npm                                     9.6.6                   npm     
npm                                     9.6.6-r0                apk     
npm-audit-report                        4.0.0                   npm     
npm-bundled                             3.0.0                   npm     
npm-install-checks                      6.1.1                   npm     
npm-normalize-package-bin               3.0.1                   npm     
npm-package-arg                         10.1.0                  npm     
npm-packlist                            7.0.4                   npm     
npm-pick-manifest                       8.0.1                   npm     
npm-profile                             7.0.1                   npm     
npm-registry-fetch                      14.0.5                  npm     
npm-user-validate                       2.0.0                   npm     
npmlog                                  6.0.2                   npm     
npmlog                                  7.0.1                   npm     
once                                    1.4.0                   npm     
oniguruma                               6.9.8-r1                apk     
openexr-libiex                          3.1.9-r0                apk     
openexr-libilmthread                    3.1.9-r0                apk     
openexr-libopenexr                      3.1.9-r0                apk     
openjpeg                                2.5.0-r3                apk     
openssh                                 9.3_p2-r0               apk     
openssh-client-common                   9.3_p2-r0               apk     
openssh-client-default                  9.3_p2-r0               apk     
openssh-keygen                          9.3_p2-r0               apk     
openssh-server                          9.3_p2-r0               apk     
openssh-server-common                   9.3_p2-r0               apk     
openssh-sftp-server                     9.3_p2-r0               apk     
openssl-dev                             3.1.2-r0                apk     
orc                                     0.4.34-r0               apk     
p-map                                   4.0.0                   npm     
packaging                               23.1                    python  
pacote                                  15.1.3                  npm     
pango                                   1.50.14-r1              apk     
parse-conflict-json                     3.0.1                   npm     
patch                                   2.7.6-r10               apk     
path-is-absolute                        1.0.1                   npm     
path-key                                3.1.1                   npm     
path-scurry                             1.7.0                   npm     
